opportunity_id,account_id,source_lead_id,opportunity_name,opportunity_type,plan_tier,amount,stage_name,is_closed,is_won,created_date,close_date,owner_region
OPP000069,ACC00053,LEAD003388,Meridian Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-10-26,2024-02-21,Northeast
OPP000070,ACC00054,LEAD001143,Harbor Real Estate - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2023-09-20,2023-12-02,Northeast
OPP000071,ACC00054,,Harbor Real Estate - Launch (Expansion),Expansion,Launch,3767,Closed Lost,true,false,2024-04-21,2024-06-25,Northeast
OPP000072,ACC00055,LEAD000599,Foxglove Properties - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-02-15,2024-05-31,Southeast
OPP000073,ACC00056,LEAD003313,Ironwood & Co. - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2026-04-11,2026-06-07,West
OPP000074,ACC00057,LEAD002081,Lakeshore & Co. - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-10-17,2025-12-24,West
OPP000075,ACC00057,,Lakeshore & Co. - Launch (Expansion),Expansion,Launch,3950,Discovery,false,false,2026-06-12,2026-09-13,West
OPP000076,ACC00058,LEAD000911,Stonebridge Real Estate - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2026-01-18,2026-02-15,Midwest
OPP000077,ACC00059,,Foxglove Partners - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-06-27,2024-08-04,Midwest
OPP000078,ACC00059,,Foxglove Partners - Scale (Expansion),Expansion,Scale,10868,Closed Lost,true,false,2025-02-08,2025-02-25,Midwest
OPP000079,ACC00060,LEAD001851,Meridian & Co. - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2024-06-26,2024-10-11,Southeast
OPP000080,ACC00061,LEAD000624,Foxglove & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-10-11,2025-12-25,Southwest
OPP000081,ACC00062,,Lakeshore Partners - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2024-06-06,2024-08-28,Midwest
OPP000082,ACC00063,LEAD000921,Harbor & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2024-07-26,2024-08-28,Midwest
OPP000083,ACC00064,LEAD002312,Cypress Real Estate - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2025-09-20,2025-11-29,Southwest
OPP000084,ACC00065,LEAD003793,Ridgeline Group - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2024-10-03,2025-01-11,Southwest
OPP000085,ACC00066,LEAD001153,Meridian Group - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2025-10-07,2026-01-03,Southwest
OPP000086,ACC00067,LEAD002800,Ironwood Partners - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2025-10-09,2026-01-14,West
OPP000087,ACC00067,,Ironwood Partners - Brand (Expansion),Expansion,Brand,3592,Discovery,false,false,2026-05-28,2026-08-07,West
OPP000088,ACC00068,,Ironwood Real Estate - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2024-06-22,2024-08-05,Midwest
OPP000089,ACC00069,LEAD003432,Meridian Realty - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2024-09-30,2024-12-09,Southeast
OPP000090,ACC00070,,Cypress Realty - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2023-07-28,2023-08-13,Southwest
OPP000091,ACC00071,,Blackwood & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-03-19,2023-06-13,Northeast
OPP000092,ACC00072,LEAD003298,Cornerstone & Co. - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-03-13,2024-06-20,Northeast
OPP000093,ACC00073,,Beacon & Co. - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2024-10-02,2024-11-27,West
OPP000094,ACC00074,LEAD003465,Stonebridge Group - All In (New Business),New Business,All In,33600,Prospecting,false,false,2026-06-12,2026-09-01,Southeast
OPP000095,ACC00075,,Ridgeline Partners - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2023-03-05,2023-06-19,Northeast
OPP000096,ACC00076,LEAD001765,Ironwood Group - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-10-12,2025-11-04,Southeast
OPP000097,ACC00077,,Cypress Realty - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2024-09-23,2024-12-25,Southeast
OPP000098,ACC00078,LEAD001225,Cypress Partners - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-05-04,2025-05-31,West
OPP000099,ACC00079,LEAD002264,Cypress Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-06-30,2025-10-24,Northeast
OPP000100,ACC00080,LEAD002890,Blackwood Real Estate - Launch (New Business),New Business,Launch,6000,Demo,false,false,2026-06-02,2026-09-28,West
OPP000101,ACC00081,LEAD000707,Blackwood Real Estate - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2023-12-01,2024-01-01,Southeast
OPP000102,ACC00081,,Blackwood Real Estate - Launch (Expansion),Expansion,Launch,3276,Closed Lost,true,false,2024-07-30,2024-11-15,Southeast
OPP000103,ACC00082,,Meridian Real Estate - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2023-11-05,2023-12-03,Southwest
OPP000104,ACC00083,LEAD002061,Meridian Real Estate - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2023-01-16,2023-03-30,Northeast
OPP000105,ACC00084,LEAD002982,Lakeshore Properties - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2026-01-20,2026-05-09,Midwest
OPP000106,ACC00085,LEAD001500,Foxglove Properties - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2025-03-25,2025-07-04,Midwest
OPP000107,ACC00086,LEAD002498,Beacon Realty - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2025-07-05,2025-10-09,Midwest
OPP000108,ACC00087,,Ironwood & Co. - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-07-08,2024-10-14,West
OPP000109,ACC00088,LEAD002211,Cornerstone & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-10-22,2026-02-16,Southeast
OPP000110,ACC00089,LEAD000069,Blackwood Realty - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2023-08-26,2023-11-15,West
OPP000111,ACC00090,LEAD002084,Meridian & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-11-03,2024-02-25,Midwest
OPP000112,ACC00091,LEAD002431,Ridgeline Properties - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2024-05-17,2024-08-21,Southeast
OPP000113,ACC00092,LEAD002769,Ridgeline Realty - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2025-09-04,2025-11-24,West
OPP000114,ACC00093,LEAD002667,Ironwood Partners - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-08-31,2025-11-04,Southeast
OPP000115,ACC00094,LEAD003824,Foxglove Partners - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-08-30,2024-10-01,Northeast
OPP000116,ACC00095,LEAD000662,Lakeshore Properties - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2024-09-10,2024-12-05,Northeast
OPP000117,ACC00096,LEAD002521,Summit Real Estate - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2023-04-10,2023-05-25,Southwest
OPP000118,ACC00096,,Summit Real Estate - Scale (Expansion),Expansion,Scale,5170,Closed Won,true,true,2023-11-25,2023-12-31,Southwest
OPP000119,ACC00097,,Blackwood Properties - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2023-11-04,2024-02-13,Southeast
OPP000120,ACC00098,LEAD003098,Cornerstone & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-06-25,2023-07-26,West
OPP000121,ACC00099,LEAD003282,Foxglove Group - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-08-06,2025-09-26,Midwest
OPP000122,ACC00100,LEAD001517,Cypress Group - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-09-06,2025-09-20,West
OPP000123,ACC00100,,Cypress Group - Brand (Expansion),Expansion,Brand,5686,Discovery,false,false,2026-05-20,2026-07-09,West
OPP000124,ACC00101,LEAD002373,Summit Group - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2023-09-26,2024-01-15,Midwest
OPP000125,ACC00102,,Stonebridge Properties - All In (New Business),New Business,All In,33600,Closed Won,true,true,2025-02-27,2025-05-20,Southwest
OPP000126,ACC00102,,Stonebridge Properties - Scale (Expansion),Expansion,Scale,11859,Closed Won,true,true,2025-09-30,2025-11-09,Southwest
OPP000127,ACC00103,LEAD002986,Cornerstone Partners - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-08-17,2024-10-01,Southeast
OPP000128,ACC00104,LEAD000877,Cornerstone Realty - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2025-01-26,2025-04-18,Midwest
OPP000129,ACC00104,,Cornerstone Realty - Scale (Expansion),Expansion,Scale,10005,Closed Won,true,true,2025-09-18,2025-12-19,Midwest
OPP000130,ACC00105,LEAD001667,Ridgeline Real Estate - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2023-04-22,2023-05-16,Northeast
OPP000131,ACC00105,,Ridgeline Real Estate - Brand (Expansion),Expansion,Brand,5225,Closed Lost,true,false,2024-01-11,2024-04-28,Northeast
OPP000132,ACC00106,LEAD001879,Meridian Realty - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-05-09,2024-08-30,Northeast
OPP000133,ACC00107,LEAD001199,Cornerstone Real Estate - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-02-25,2023-06-25,Southwest
OPP000134,ACC00108,LEAD001205,Beacon Partners - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2026-01-23,2026-03-16,Southwest
OPP000135,ACC00109,,Summit Realty - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2026-01-02,2026-04-03,Northeast
OPP000136,ACC00110,LEAD003040,Lakeshore Real Estate - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2025-08-10,2025-12-04,Southeast
OPP000137,ACC00110,,Lakeshore Real Estate - Launch (Expansion),Expansion,Launch,1924,Closed Won,true,true,2026-02-24,2026-06-20,Southeast
OPP000138,ACC00111,LEAD003351,Cypress Group - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2024-12-02,2025-02-08,Northeast
OPP000139,ACC00112,LEAD001441,Cornerstone Partners - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2024-03-16,2024-03-31,Northeast
OPP000140,ACC00112,,Cornerstone Partners - Scale (Expansion),Expansion,Scale,5968,Closed Lost,true,false,2024-12-13,2025-01-20,Northeast
OPP000141,ACC00113,LEAD001258,Foxglove Partners - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2024-06-17,2024-07-10,Midwest
OPP000142,ACC00113,,Foxglove Partners - Launch (Expansion),Expansion,Launch,2984,Closed Lost,true,false,2025-02-01,2025-04-12,Midwest
OPP000143,ACC00114,LEAD000136,Meridian Real Estate - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-02-03,2025-04-13,Southeast
OPP000144,ACC00115,LEAD003263,Meridian Group - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2025-06-04,2025-08-20,Midwest
OPP000145,ACC00116,,Cypress Group - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-05-13,2024-08-28,Southwest
OPP000146,ACC00117,LEAD001704,Foxglove & Co. - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2026-03-03,2026-06-09,Northeast
OPP000147,ACC00118,LEAD002512,Ridgeline Real Estate - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2025-01-09,2025-02-14,Midwest
OPP000148,ACC00118,,Ridgeline Real Estate - Brand (Expansion),Expansion,Brand,6036,Closed Won,true,true,2025-09-17,2025-10-01,Midwest
OPP000149,ACC00119,LEAD002489,Lakeshore Properties - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2024-04-07,2024-07-25,West
OPP000150,ACC00120,LEAD001092,Meridian Realty - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2023-05-12,2023-06-01,Northeast
OPP000151,ACC00121,LEAD003557,Cypress Realty - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-05-26,2025-06-10,Southeast
OPP000152,ACC00122,LEAD000669,Meridian Realty - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-10-22,2025-01-16,Northeast
OPP000153,ACC00122,,Meridian Realty - Launch (Expansion),Expansion,Launch,1618,Closed Won,true,true,2025-06-21,2025-08-24,Northeast
OPP000154,ACC00123,LEAD003336,Ironwood Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-10-05,2024-01-18,Midwest
OPP000155,ACC00124,LEAD002133,Stonebridge Realty - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-01-02,2025-02-15,Northeast
OPP000156,ACC00125,LEAD000622,Ironwood Realty - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-04-29,2025-08-26,Northeast
OPP000157,ACC00126,LEAD003319,Ironwood Real Estate - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2023-08-08,2023-11-18,Midwest
OPP000158,ACC00127,LEAD001087,Harbor Real Estate - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2024-01-22,2024-03-30,Southwest
OPP000159,ACC00128,LEAD003459,Ridgeline & Co. - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2024-07-05,2024-09-05,Southwest
OPP000160,ACC00129,LEAD002625,Meridian & Co. - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2026-05-13,2026-06-28,Southeast
OPP000161,ACC00130,LEAD001694,Blackwood Real Estate - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2025-09-19,2025-10-05,Southwest
OPP000162,ACC00130,,Blackwood Real Estate - Launch (Expansion),Expansion,Launch,3552,Proposal,false,false,2026-05-29,2026-09-01,Southwest
OPP000163,ACC00131,,Harbor & Co. - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2023-04-28,2023-06-11,Southeast
OPP000164,ACC00132,LEAD000167,Beacon Real Estate - Scale (New Business),New Business,Scale,19200,Proposal,false,false,2026-04-27,2026-07-20,West
OPP000165,ACC00133,LEAD000290,Beacon Partners - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2023-12-29,2024-02-07,West
OPP000166,ACC00134,LEAD000935,Foxglove Group - Brand (New Business),New Business,Brand,10800,Negotiation,false,false,2026-05-16,2026-08-07,Southeast
OPP000167,ACC00135,LEAD000966,Meridian & Co. - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2026-05-21,2026-06-10,Southeast
OPP000168,ACC00136,LEAD000429,Foxglove Group - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2023-06-30,2023-08-31,Southeast
OPP000169,ACC00137,,Cornerstone Group - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-02-20,2025-04-01,Northeast
OPP000170,ACC00138,LEAD002339,Meridian Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-08-04,2023-11-01,West
OPP000171,ACC00139,LEAD001475,Lakeshore & Co. - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2023-12-26,2024-02-22,Northeast
OPP000172,ACC00139,,Lakeshore & Co. - Brand (Expansion),Expansion,Brand,4500,Closed Won,true,true,2024-08-03,2024-11-23,Northeast
OPP000173,ACC00140,LEAD002198,Cornerstone Group - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2024-10-27,2024-12-08,Southwest
OPP000174,ACC00140,,Cornerstone Group - Launch (Expansion),Expansion,Launch,3503,Closed Won,true,true,2025-06-23,2025-08-11,Southwest
OPP000175,ACC00141,,Ridgeline Group - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-12-04,2024-03-07,Northeast
OPP000176,ACC00142,LEAD001263,Ridgeline Group - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2026-01-04,2026-01-31,West
OPP000177,ACC00143,LEAD003635,Ironwood Real Estate - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2025-01-10,2025-03-06,Southwest
OPP000178,ACC00143,,Ironwood Real Estate - Launch (Expansion),Expansion,Launch,3770,Closed Lost,true,false,2025-09-10,2025-11-25,Southwest
OPP000179,ACC00144,LEAD003322,Ridgeline Realty - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-07-24,2023-11-16,Southwest
OPP000180,ACC00144,,Ridgeline Realty - Brand (Expansion),Expansion,Brand,3084,Closed Lost,true,false,2024-04-17,2024-05-05,Southwest
OPP000181,ACC00145,LEAD000295,Cornerstone Properties - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2023-02-09,2023-06-02,Southeast
OPP000182,ACC00146,LEAD001388,Meridian Partners - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2024-05-30,2024-07-21,Midwest
OPP000183,ACC00147,LEAD000498,Blackwood Partners - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2025-12-14,2026-01-09,Northeast
OPP000184,ACC00148,LEAD002894,Cypress Real Estate - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2023-06-30,2023-09-13,Southwest
OPP000185,ACC00149,,Harbor Group - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2024-06-18,2024-09-03,Southeast
OPP000186,ACC00150,,Ridgeline & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2026-02-08,2026-03-11,Southwest
