subscription_id,account_id,opportunity_id,plan_tier,mrr,term_number,start_date,end_date,end_status
SUB000040,ACC00054,OPP000070,Brand,900,1,2023-12-02,2024-12-01,Renewed
SUB000041,ACC00054,OPP000070,Brand,900,2,2024-12-01,2025-12-01,Upgraded
SUB000042,ACC00054,OPP000070,Scale,1600,3,2025-12-01,2026-12-01,Active
SUB000043,ACC00060,OPP000079,Launch,500,1,2024-10-11,2025-10-11,Downgraded
SUB000044,ACC00060,OPP000079,Launch,500,2,2025-10-11,2026-10-11,Active
SUB000045,ACC00062,OPP000081,Brand,900,1,2024-08-28,2025-08-28,Downgraded
SUB000046,ACC00062,OPP000081,Launch,500,2,2025-08-28,2026-08-28,Active
SUB000047,ACC00066,OPP000085,Scale,1600,1,2026-01-03,2027-01-03,Active
SUB000048,ACC00068,OPP000088,Brand,900,1,2024-08-05,2025-08-05,Upgraded
SUB000049,ACC00068,OPP000088,Scale,1600,2,2025-08-05,2026-08-05,Active
SUB000050,ACC00069,OPP000089,Brand,900,1,2024-12-09,2025-12-09,Churned
SUB000051,ACC00070,OPP000090,Scale,1600,1,2023-08-13,2024-08-12,Downgraded
SUB000052,ACC00070,OPP000090,Brand,900,2,2024-08-12,2025-08-12,Downgraded
SUB000053,ACC00070,OPP000090,Launch,500,3,2025-08-12,2026-08-12,Active
SUB000054,ACC00077,OPP000097,Scale,1600,1,2024-12-25,2025-12-25,Upgraded
SUB000055,ACC00077,OPP000097,All In,2800,2,2025-12-25,2026-12-25,Active
SUB000056,ACC00081,OPP000101,Launch,500,1,2024-01-01,2024-12-31,Upgraded
SUB000057,ACC00081,OPP000101,Brand,900,2,2024-12-31,2025-12-31,Upgraded
SUB000058,ACC00081,OPP000101,Scale,1600,3,2025-12-31,2026-12-31,Active
SUB000059,ACC00084,OPP000105,Launch,500,1,2026-05-09,2027-05-09,Active
SUB000060,ACC00085,OPP000106,Launch,500,1,2025-07-04,2026-07-04,Active
SUB000061,ACC00086,OPP000107,Launch,500,1,2025-10-09,2026-10-09,Active
SUB000062,ACC00089,OPP000110,Brand,900,1,2023-11-15,2024-11-14,Renewed
SUB000063,ACC00089,OPP000110,Brand,900,2,2024-11-14,2025-11-14,Churned
SUB000064,ACC00091,OPP000112,Brand,900,1,2024-08-21,2025-08-21,Churned
SUB000065,ACC00092,OPP000113,Scale,1600,1,2025-11-24,2026-11-24,Active
SUB000066,ACC00096,OPP000117,Brand,900,1,2023-05-25,2024-05-24,Upgraded
SUB000067,ACC00096,OPP000117,Scale,1600,2,2024-05-24,2025-05-24,Upgraded
SUB000068,ACC00096,OPP000117,All In,2800,3,2025-05-24,2026-05-24,Upgraded
SUB000069,ACC00096,OPP000117,All In,2800,4,2026-05-24,2027-05-24,Active
SUB000070,ACC00097,OPP000119,Brand,900,1,2024-02-13,2025-02-12,Downgraded
SUB000071,ACC00097,OPP000119,Launch,500,2,2025-02-12,2026-02-12,Renewed
SUB000072,ACC00097,OPP000119,Launch,500,3,2026-02-12,2027-02-12,Active
SUB000073,ACC00102,OPP000125,All In,2800,1,2025-05-20,2026-05-20,Renewed
SUB000074,ACC00102,OPP000125,All In,2800,2,2026-05-20,2027-05-20,Active
SUB000075,ACC00104,OPP000128,Brand,900,1,2025-04-18,2026-04-18,Downgraded
SUB000076,ACC00104,OPP000128,Launch,500,2,2026-04-18,2027-04-18,Active
SUB000077,ACC00105,OPP000130,Scale,1600,1,2023-05-16,2024-05-15,Renewed
SUB000078,ACC00105,OPP000130,Scale,1600,2,2024-05-15,2025-05-15,Upgraded
SUB000079,ACC00105,OPP000130,All In,2800,3,2025-05-15,2026-05-15,Upgraded
SUB000080,ACC00105,OPP000130,All In,2800,4,2026-05-15,2027-05-15,Active
SUB000081,ACC00108,OPP000134,Launch,500,1,2026-03-16,2027-03-16,Active
SUB000082,ACC00112,OPP000139,Scale,1600,1,2024-03-31,2025-03-31,Downgraded
SUB000083,ACC00112,OPP000139,Brand,900,2,2025-03-31,2026-03-31,Renewed
SUB000084,ACC00112,OPP000139,Brand,900,3,2026-03-31,2027-03-31,Active
SUB000085,ACC00115,OPP000144,Brand,900,1,2025-08-20,2026-08-20,Active
SUB000086,ACC00118,OPP000147,Scale,1600,1,2025-02-14,2026-02-14,Renewed
SUB000087,ACC00118,OPP000147,Scale,1600,2,2026-02-14,2027-02-14,Active
SUB000088,ACC00119,OPP000149,Launch,500,1,2024-07-25,2025-07-25,Upgraded
SUB000089,ACC00119,OPP000149,Brand,900,2,2025-07-25,2026-07-25,Active
SUB000090,ACC00130,OPP000161,Launch,500,1,2025-10-05,2026-10-05,Active
SUB000091,ACC00135,OPP000167,Scale,1600,1,2026-06-10,2027-06-10,Active
SUB000092,ACC00136,OPP000168,Brand,900,1,2023-08-31,2024-08-30,Upgraded
SUB000093,ACC00136,OPP000168,Scale,1600,2,2024-08-30,2025-08-30,Churned
SUB000094,ACC00146,OPP000182,Scale,1600,1,2024-07-21,2025-07-21,Upgraded
SUB000095,ACC00146,OPP000182,All In,2800,2,2025-07-21,2026-07-21,Active
SUB000096,ACC00147,OPP000183,Brand,900,1,2026-01-09,2027-01-09,Active
SUB000097,ACC00148,OPP000184,Scale,1600,1,2023-09-13,2024-09-12,Churned
SUB000098,ACC00149,OPP000185,Launch,500,1,2024-09-03,2025-09-03,Renewed
SUB000099,ACC00149,OPP000185,Launch,500,2,2025-09-03,2026-09-03,Active
SUB000100,ACC00151,OPP000187,Launch,500,1,2025-11-02,2026-11-02,Active
SUB000101,ACC00156,OPP000193,All In,2800,1,2023-08-07,2024-08-06,Upgraded
SUB000102,ACC00156,OPP000193,All In,2800,2,2024-08-06,2025-08-06,Churned
SUB000103,ACC00159,OPP000196,Launch,500,1,2023-12-16,2024-12-15,Upgraded
SUB000104,ACC00159,OPP000196,Brand,900,2,2024-12-15,2025-12-15,Upgraded
SUB000105,ACC00159,OPP000196,Scale,1600,3,2025-12-15,2026-12-15,Active
SUB000106,ACC00160,OPP000198,Brand,900,1,2024-11-06,2025-11-06,Downgraded
SUB000107,ACC00160,OPP000198,Launch,500,2,2025-11-06,2026-11-06,Active
SUB000108,ACC00161,OPP000199,Brand,900,1,2023-09-08,2024-09-07,Upgraded
SUB000109,ACC00161,OPP000199,Scale,1600,2,2024-09-07,2025-09-07,Renewed
SUB000110,ACC00161,OPP000199,Scale,1600,3,2025-09-07,2026-09-07,Active
SUB000111,ACC00167,OPP000207,Brand,900,1,2024-12-12,2025-12-12,Upgraded
SUB000112,ACC00167,OPP000207,Scale,1600,2,2025-12-12,2026-12-12,Active
SUB000113,ACC00170,OPP000211,Brand,900,1,2023-07-02,2024-07-01,Renewed
SUB000114,ACC00170,OPP000211,Brand,900,2,2024-07-01,2025-07-01,Renewed
SUB000115,ACC00170,OPP000211,Brand,900,3,2025-07-01,2026-07-01,Active
SUB000116,ACC00173,OPP000214,Brand,900,1,2024-06-09,2025-06-09,Upgraded
SUB000117,ACC00173,OPP000214,Scale,1600,2,2025-06-09,2026-06-09,Renewed
SUB000118,ACC00173,OPP000214,Scale,1600,3,2026-06-09,2027-06-09,Active
SUB000119,ACC00179,OPP000220,Scale,1600,1,2025-01-24,2026-01-24,Upgraded
SUB000120,ACC00179,OPP000220,All In,2800,2,2026-01-24,2027-01-24,Active
SUB000121,ACC00184,OPP000227,Launch,500,1,2024-05-18,2025-05-18,Churned
SUB000122,ACC00185,OPP000228,Launch,500,1,2024-12-15,2025-12-15,Churned
SUB000123,ACC00187,OPP000231,All In,2800,1,2023-07-30,2024-07-29,Downgraded
SUB000124,ACC00187,OPP000231,Scale,1600,2,2024-07-29,2025-07-29,Downgraded
SUB000125,ACC00187,OPP000231,Brand,900,3,2025-07-29,2026-07-29,Active
SUB000126,ACC00188,OPP000232,All In,2800,1,2023-12-09,2024-12-08,Renewed
SUB000127,ACC00188,OPP000232,All In,2800,2,2024-12-08,2025-12-08,Downgraded
SUB000128,ACC00188,OPP000232,Scale,1600,3,2025-12-08,2026-12-08,Active
SUB000129,ACC00189,OPP000233,Launch,500,1,2025-09-09,2026-09-09,Active
SUB000130,ACC00191,OPP000235,Launch,500,1,2024-04-26,2025-04-26,Renewed
SUB000131,ACC00191,OPP000235,Launch,500,2,2025-04-26,2026-04-26,Upgraded
SUB000132,ACC00191,OPP000235,Brand,900,3,2026-04-26,2027-04-26,Active
SUB000133,ACC00192,OPP000237,Launch,500,1,2024-12-12,2025-12-12,Churned
SUB000134,ACC00195,OPP000240,Brand,900,1,2023-12-31,2024-12-30,Renewed
SUB000135,ACC00195,OPP000240,Brand,900,2,2024-12-30,2025-12-30,Upgraded
SUB000136,ACC00195,OPP000240,Scale,1600,3,2025-12-30,2026-12-30,Active
SUB000137,ACC00197,OPP000242,Brand,900,1,2026-01-21,2027-01-21,Active
SUB000138,ACC00199,OPP000244,Launch,500,1,2025-05-26,2026-05-26,Renewed
SUB000139,ACC00199,OPP000244,Launch,500,2,2026-05-26,2027-05-26,Active
SUB000140,ACC00202,OPP000249,Brand,900,1,2023-07-12,2024-07-11,Renewed
SUB000141,ACC00202,OPP000249,Brand,900,2,2024-07-11,2025-07-11,Downgraded
SUB000142,ACC00202,OPP000249,Launch,500,3,2025-07-11,2026-07-11,Active
SUB000143,ACC00207,OPP000257,Brand,900,1,2023-08-16,2024-08-15,Churned
SUB000144,ACC00212,OPP000263,Launch,500,1,2025-09-22,2026-09-22,Active
SUB000145,ACC00213,OPP000265,Scale,1600,1,2023-09-24,2024-09-23,Renewed
SUB000146,ACC00213,OPP000265,Scale,1600,2,2024-09-23,2025-09-23,Renewed
SUB000147,ACC00213,OPP000265,Scale,1600,3,2025-09-23,2026-09-23,Active
SUB000148,ACC00214,OPP000266,Brand,900,1,2023-03-01,2024-02-29,Downgraded
SUB000149,ACC00214,OPP000266,Launch,500,2,2024-02-29,2025-02-28,Upgraded
SUB000150,ACC00214,OPP000266,Brand,900,3,2025-02-28,2026-02-28,Renewed
SUB000151,ACC00214,OPP000266,Brand,900,4,2026-02-28,2027-02-28,Active
SUB000152,ACC00216,OPP000268,Launch,500,1,2025-11-29,2026-11-29,Active
SUB000153,ACC00219,OPP000271,All In,2800,1,2025-11-20,2026-11-20,Active
SUB000154,ACC00221,OPP000274,Launch,500,1,2025-11-28,2026-11-28,Active
SUB000155,ACC00223,OPP000277,Brand,900,1,2026-04-20,2027-04-20,Active
SUB000156,ACC00230,OPP000286,Brand,900,1,2024-12-07,2025-12-07,Churned
SUB000157,ACC00234,OPP000292,Scale,1600,1,2023-07-19,2024-07-18,Upgraded
SUB000158,ACC00234,OPP000292,All In,2800,2,2024-07-18,2025-07-18,Upgraded
SUB000159,ACC00234,OPP000292,All In,2800,3,2025-07-18,2026-07-18,Active
SUB000160,ACC00239,OPP000299,All In,2800,1,2025-05-31,2026-05-31,Renewed
SUB000161,ACC00239,OPP000299,All In,2800,2,2026-05-31,2027-05-31,Active
SUB000162,ACC00247,OPP000307,All In,2800,1,2025-11-19,2026-11-19,Active
SUB000163,ACC00252,OPP000313,Launch,500,1,2024-02-20,2025-02-19,Downgraded
SUB000164,ACC00252,OPP000313,Launch,500,2,2025-02-19,2026-02-19,Downgraded
SUB000165,ACC00252,OPP000313,Launch,500,3,2026-02-19,2027-02-19,Active
SUB000166,ACC00255,OPP000316,Launch,500,1,2026-05-04,2027-05-04,Active
SUB000167,ACC00258,OPP000319,All In,2800,1,2024-01-15,2025-01-14,Renewed
SUB000168,ACC00258,OPP000319,All In,2800,2,2025-01-14,2026-01-14,Renewed
SUB000169,ACC00258,OPP000319,All In,2800,3,2026-01-14,2027-01-14,Active
SUB000170,ACC00259,OPP000320,All In,2800,1,2024-10-04,2025-10-04,Renewed
SUB000171,ACC00259,OPP000320,All In,2800,2,2025-10-04,2026-10-04,Active
SUB000172,ACC00262,OPP000323,Launch,500,1,2023-03-29,2024-03-28,Downgraded
SUB000173,ACC00262,OPP000323,Launch,500,2,2024-03-28,2025-03-28,Churned
SUB000174,ACC00266,OPP000329,Brand,900,1,2025-01-30,2026-01-30,Renewed
SUB000175,ACC00266,OPP000329,Brand,900,2,2026-01-30,2027-01-30,Active
SUB000176,ACC00267,OPP000330,Scale,1600,1,2026-02-17,2027-02-17,Active
SUB000177,ACC00270,OPP000333,Scale,1600,1,2024-06-04,2025-06-04,Renewed
SUB000178,ACC00270,OPP000333,Scale,1600,2,2025-06-04,2026-06-04,Downgraded
SUB000179,ACC00270,OPP000333,Brand,900,3,2026-06-04,2027-06-04,Active
SUB000180,ACC00275,OPP000338,Scale,1600,1,2025-05-25,2026-05-25,Downgraded
SUB000181,ACC00275,OPP000338,Brand,900,2,2026-05-25,2027-05-25,Active
SUB000182,ACC00276,OPP000339,Brand,900,1,2024-10-18,2025-10-18,Upgraded
SUB000183,ACC00276,OPP000339,Scale,1600,2,2025-10-18,2026-10-18,Active
SUB000184,ACC00283,OPP000346,Brand,900,1,2023-10-15,2024-10-14,Upgraded
SUB000185,ACC00283,OPP000346,Scale,1600,2,2024-10-14,2025-10-14,Upgraded
SUB000186,ACC00283,OPP000346,All In,2800,3,2025-10-14,2026-10-14,Active
SUB000187,ACC00284,OPP000347,Launch,500,1,2025-12-15,2026-12-15,Active
SUB000188,ACC00295,OPP000361,Launch,500,1,2025-08-23,2026-08-23,Active
SUB000189,ACC00298,OPP000365,Scale,1600,1,2025-08-06,2026-08-06,Active
SUB000190,ACC00304,OPP000372,Scale,1600,1,2026-05-20,2027-05-20,Active
SUB000191,ACC00305,OPP000373,Launch,500,1,2024-11-28,2025-11-28,Churned
SUB000192,ACC00313,OPP000382,Scale,1600,1,2025-07-21,2026-07-21,Active
SUB000193,ACC00314,OPP000384,Scale,1600,1,2025-03-07,2026-03-07,Downgraded
SUB000194,ACC00314,OPP000384,Brand,900,2,2026-03-07,2027-03-07,Active
SUB000195,ACC00317,OPP000388,Launch,500,1,2024-10-27,2025-10-27,Upgraded
SUB000196,ACC00317,OPP000388,Brand,900,2,2025-10-27,2026-10-27,Active
SUB000197,ACC00323,OPP000395,Launch,500,1,2025-12-03,2026-12-03,Active
SUB000198,ACC00327,OPP000400,Brand,900,1,2026-02-27,2027-02-27,Active
SUB000199,ACC00330,OPP000403,Scale,1600,1,2024-07-11,2025-07-11,Churned
SUB000200,ACC00331,OPP000404,All In,2800,1,2024-01-03,2025-01-02,Renewed
SUB000201,ACC00331,OPP000404,All In,2800,2,2025-01-02,2026-01-02,Renewed
SUB000202,ACC00331,OPP000404,All In,2800,3,2026-01-02,2027-01-02,Active
SUB000203,ACC00332,OPP000405,Launch,500,1,2025-04-04,2026-04-04,Upgraded
SUB000204,ACC00332,OPP000405,Brand,900,2,2026-04-04,2027-04-04,Active
SUB000205,ACC00334,OPP000407,Brand,900,1,2025-01-29,2026-01-29,Renewed
SUB000206,ACC00334,OPP000407,Brand,900,2,2026-01-29,2027-01-29,Active
SUB000207,ACC00337,OPP000410,Launch,500,1,2023-09-17,2024-09-16,Downgraded
SUB000208,ACC00337,OPP000410,Launch,500,2,2024-09-16,2025-09-16,Upgraded
SUB000209,ACC00337,OPP000410,Brand,900,3,2025-09-16,2026-09-16,Active
SUB000210,ACC00338,OPP000412,Launch,500,1,2024-05-30,2025-05-30,Upgraded
SUB000211,ACC00338,OPP000412,Brand,900,2,2025-05-30,2026-05-30,Churned
SUB000212,ACC00340,OPP000414,Launch,500,1,2024-01-25,2025-01-24,Downgraded
SUB000213,ACC00340,OPP000414,Launch,500,2,2025-01-24,2026-01-24,Downgraded
SUB000214,ACC00340,OPP000414,Launch,500,3,2026-01-24,2027-01-24,Active
SUB000215,ACC00342,OPP000416,Brand,900,1,2023-11-01,2024-10-31,Upgraded
SUB000216,ACC00342,OPP000416,Scale,1600,2,2024-10-31,2025-10-31,Downgraded
SUB000217,ACC00342,OPP000416,Brand,900,3,2025-10-31,2026-10-31,Active
SUB000218,ACC00344,OPP000418,Brand,900,1,2023-10-22,2024-10-21,Downgraded
SUB000219,ACC00344,OPP000418,Launch,500,2,2024-10-21,2025-10-21,Renewed
SUB000220,ACC00344,OPP000418,Launch,500,3,2025-10-21,2026-10-21,Active
SUB000221,ACC00346,OPP000420,Launch,500,1,2024-06-04,2025-06-04,Upgraded
SUB000222,ACC00346,OPP000420,Brand,900,2,2025-06-04,2026-06-04,Renewed
SUB000223,ACC00346,OPP000420,Brand,900,3,2026-06-04,2027-06-04,Active
SUB000224,ACC00347,OPP000422,Launch,500,1,2024-09-24,2025-09-24,Downgraded
SUB000225,ACC00347,OPP000422,Launch,500,2,2025-09-24,2026-09-24,Active
SUB000226,ACC00353,OPP000428,Scale,1600,1,2024-04-07,2025-04-07,Churned
SUB000227,ACC00357,OPP000432,Scale,1600,1,2023-12-15,2024-12-14,Downgraded
SUB000228,ACC00357,OPP000432,Brand,900,2,2024-12-14,2025-12-14,Upgraded
SUB000229,ACC00357,OPP000432,Scale,1600,3,2025-12-14,2026-12-14,Active
SUB000230,ACC00358,OPP000434,Scale,1600,1,2026-01-12,2027-01-12,Active
SUB000231,ACC00362,OPP000438,Scale,1600,1,2025-12-02,2026-12-02,Active
SUB000232,ACC00363,OPP000439,Brand,900,1,2026-01-17,2027-01-17,Active
SUB000233,ACC00368,OPP000445,Launch,500,1,2025-09-27,2026-09-27,Active
SUB000234,ACC00369,OPP000446,Launch,500,1,2025-01-27,2026-01-27,Renewed
SUB000235,ACC00369,OPP000446,Launch,500,2,2026-01-27,2027-01-27,Active
SUB000236,ACC00371,OPP000448,Launch,500,1,2024-11-14,2025-11-14,Churned
SUB000237,ACC00374,OPP000451,Launch,500,1,2026-02-20,2027-02-20,Active
SUB000238,ACC00375,OPP000452,Brand,900,1,2024-12-27,2025-12-27,Upgraded
SUB000239,ACC00375,OPP000452,Scale,1600,2,2025-12-27,2026-12-27,Active
SUB000240,ACC00379,OPP000458,Brand,900,1,2025-01-16,2026-01-16,Churned
SUB000241,ACC00380,OPP000459,Launch,500,1,2026-02-24,2027-02-24,Active
SUB000242,ACC00382,OPP000461,Launch,500,1,2024-09-07,2025-09-07,Renewed
SUB000243,ACC00382,OPP000461,Launch,500,2,2025-09-07,2026-09-07,Active
SUB000244,ACC00390,OPP000471,Scale,1600,1,2023-03-11,2024-03-10,Renewed
SUB000245,ACC00390,OPP000471,Scale,1600,2,2024-03-10,2025-03-10,Renewed
SUB000246,ACC00390,OPP000471,Scale,1600,3,2025-03-10,2026-03-10,Upgraded
SUB000247,ACC00390,OPP000471,All In,2800,4,2026-03-10,2027-03-10,Active
SUB000248,ACC00392,OPP000473,Brand,900,1,2024-01-19,2025-01-18,Churned
SUB000249,ACC00394,OPP000476,Launch,500,1,2025-10-03,2026-10-03,Active
SUB000250,ACC00396,OPP000479,All In,2800,1,2025-03-18,2026-03-18,Upgraded
SUB000251,ACC00396,OPP000479,All In,2800,2,2026-03-18,2027-03-18,Active
SUB000252,ACC00397,OPP000481,Launch,500,1,2023-07-16,2024-07-15,Renewed
SUB000253,ACC00397,OPP000481,Launch,500,2,2024-07-15,2025-07-15,Churned
SUB000254,ACC00398,OPP000482,All In,2800,1,2026-04-09,2027-04-09,Active
SUB000255,ACC00406,OPP000491,Brand,900,1,2025-06-23,2026-06-23,Churned
SUB000256,ACC00407,OPP000492,All In,2800,1,2024-02-19,2025-02-18,Churned
SUB000257,ACC00412,OPP000499,Launch,500,1,2025-04-22,2026-04-22,Renewed
SUB000258,ACC00412,OPP000499,Launch,500,2,2026-04-22,2027-04-22,Active
SUB000259,ACC00415,OPP000503,Launch,500,1,2024-10-01,2025-10-01,Renewed
SUB000260,ACC00415,OPP000503,Launch,500,2,2025-10-01,2026-10-01,Active
SUB000261,ACC00416,OPP000504,Scale,1600,1,2026-06-16,2027-06-16,Active
SUB000262,ACC00418,OPP000507,All In,2800,1,2023-06-03,2024-06-02,Renewed
SUB000263,ACC00418,OPP000507,All In,2800,2,2024-06-02,2025-06-02,Upgraded
SUB000264,ACC00418,OPP000507,All In,2800,3,2025-06-02,2026-06-02,Downgraded
SUB000265,ACC00418,OPP000507,Scale,1600,4,2026-06-02,2027-06-02,Active
SUB000266,ACC00419,OPP000508,Brand,900,1,2024-05-26,2025-05-26,Upgraded
SUB000267,ACC00419,OPP000508,Scale,1600,2,2025-05-26,2026-05-26,Downgraded
SUB000268,ACC00419,OPP000508,Brand,900,3,2026-05-26,2027-05-26,Active
SUB000269,ACC00422,OPP000511,Launch,500,1,2025-08-07,2026-08-07,Active
SUB000270,ACC00424,OPP000513,Brand,900,1,2025-08-12,2026-08-12,Active
SUB000271,ACC00429,OPP000518,Scale,1600,1,2024-05-02,2025-05-02,Renewed
SUB000272,ACC00429,OPP000518,Scale,1600,2,2025-05-02,2026-05-02,Upgraded
SUB000273,ACC00429,OPP000518,All In,2800,3,2026-05-02,2027-05-02,Active
SUB000274,ACC00432,OPP000521,All In,2800,1,2025-08-29,2026-08-29,Active
SUB000275,ACC00434,OPP000524,Scale,1600,1,2024-09-16,2025-09-16,Upgraded
SUB000276,ACC00434,OPP000524,All In,2800,2,2025-09-16,2026-09-16,Active
SUB000277,ACC00436,OPP000526,Brand,900,1,2024-07-27,2025-07-27,Upgraded
SUB000278,ACC00436,OPP000526,Scale,1600,2,2025-07-27,2026-07-27,Active
SUB000279,ACC00438,OPP000528,Launch,500,1,2024-10-15,2025-10-15,Churned
SUB000280,ACC00442,OPP000533,All In,2800,1,2024-11-23,2025-11-23,Renewed
SUB000281,ACC00442,OPP000533,All In,2800,2,2025-11-23,2026-11-23,Active
SUB000282,ACC00447,OPP000539,Scale,1600,1,2026-03-22,2027-03-22,Active
SUB000283,ACC00450,OPP000542,Launch,500,1,2024-09-18,2025-09-18,Downgraded
SUB000284,ACC00450,OPP000542,Launch,500,2,2025-09-18,2026-09-18,Active
SUB000285,ACC00451,OPP000544,All In,2800,1,2025-05-22,2026-05-22,Downgraded
SUB000286,ACC00451,OPP000544,Scale,1600,2,2026-05-22,2027-05-22,Active
SUB000287,ACC00459,OPP000555,Launch,500,1,2024-10-28,2025-10-28,Downgraded
SUB000288,ACC00459,OPP000555,Launch,500,2,2025-10-28,2026-10-28,Active
SUB000289,ACC00461,OPP000557,Launch,500,1,2023-10-17,2024-10-16,Renewed
SUB000290,ACC00461,OPP000557,Launch,500,2,2024-10-16,2025-10-16,Downgraded
SUB000291,ACC00461,OPP000557,Launch,500,3,2025-10-16,2026-10-16,Active
SUB000292,ACC00464,OPP000560,All In,2800,1,2024-11-02,2025-11-02,Upgraded
SUB000293,ACC00464,OPP000560,All In,2800,2,2025-11-02,2026-11-02,Active
SUB000294,ACC00467,OPP000563,Brand,900,1,2023-10-27,2024-10-26,Renewed
SUB000295,ACC00467,OPP000563,Brand,900,2,2024-10-26,2025-10-26,Churned
SUB000296,ACC00473,OPP000571,Launch,500,1,2026-04-24,2027-04-24,Active
SUB000297,ACC00474,OPP000572,Brand,900,1,2024-11-30,2025-11-30,Downgraded
SUB000298,ACC00474,OPP000572,Launch,500,2,2025-11-30,2026-11-30,Active
SUB000299,ACC00485,OPP000584,Scale,1600,1,2024-03-29,2025-03-29,Renewed
SUB000300,ACC00485,OPP000584,Scale,1600,2,2025-03-29,2026-03-29,Renewed
SUB000301,ACC00485,OPP000584,Scale,1600,3,2026-03-29,2027-03-29,Active
SUB000302,ACC00491,OPP000592,Launch,500,1,2024-04-15,2025-04-15,Renewed
SUB000303,ACC00491,OPP000592,Launch,500,2,2025-04-15,2026-04-15,Renewed
SUB000304,ACC00491,OPP000592,Launch,500,3,2026-04-15,2027-04-15,Active
SUB000305,ACC00494,OPP000596,Scale,1600,1,2026-05-07,2027-05-07,Active
SUB000306,ACC00497,OPP000600,Brand,900,1,2024-10-29,2025-10-29,Renewed
SUB000307,ACC00497,OPP000600,Brand,900,2,2025-10-29,2026-10-29,Active
SUB000308,ACC00498,OPP000601,Brand,900,1,2025-11-10,2026-11-10,Active
SUB000309,ACC00499,OPP000603,Launch,500,1,2023-03-01,2024-02-29,Churned
SUB000310,ACC00503,OPP000608,Scale,1600,1,2023-06-17,2024-06-16,Churned
SUB000311,ACC00504,OPP000609,Brand,900,1,2025-07-15,2026-07-15,Active
SUB000312,ACC00514,OPP000621,Brand,900,1,2024-12-03,2025-12-03,Churned
