stage_history_id,opportunity_id,stage_name,entered_at
SH0000074,OPP000014,Discovery,2025-03-05
SH0000075,OPP000014,Demo,2025-03-13
SH0000076,OPP000014,Proposal,2025-03-21
SH0000077,OPP000014,Negotiation,2025-03-29
SH0000078,OPP000014,Closed Lost,2025-04-06
SH0000079,OPP000015,Prospecting,2023-12-26
SH0000080,OPP000015,Discovery,2024-01-10
SH0000081,OPP000015,Demo,2024-01-25
SH0000082,OPP000015,Proposal,2024-02-09
SH0000083,OPP000015,Negotiation,2024-02-24
SH0000084,OPP000015,Closed Lost,2024-03-10
SH0000085,OPP000016,Prospecting,2025-11-24
SH0000086,OPP000016,Demo,2025-12-30
SH0000087,OPP000016,Closed Won,2026-02-04
SH0000088,OPP000017,Prospecting,2025-02-15
SH0000089,OPP000017,Demo,2025-03-17
SH0000090,OPP000017,Closed Won,2025-04-16
SH0000091,OPP000018,Prospecting,2023-10-29
SH0000092,OPP000018,Discovery,2023-11-14
SH0000093,OPP000018,Demo,2023-11-30
SH0000094,OPP000018,Proposal,2023-12-16
SH0000095,OPP000018,Negotiation,2024-01-01
SH0000096,OPP000018,Closed Won,2024-01-17
SH0000097,OPP000019,Prospecting,2024-06-14
SH0000098,OPP000019,Discovery,2024-06-17
SH0000099,OPP000019,Demo,2024-06-20
SH0000100,OPP000019,Proposal,2024-06-23
SH0000101,OPP000019,Negotiation,2024-06-26
SH0000102,OPP000019,Closed Won,2024-06-29
SH0000103,OPP000020,Prospecting,2025-04-22
SH0000104,OPP000020,Discovery,2025-04-30
SH0000105,OPP000020,Demo,2025-05-08
SH0000106,OPP000020,Proposal,2025-05-16
SH0000107,OPP000020,Negotiation,2025-05-24
SH0000108,OPP000020,Closed Lost,2025-06-01
SH0000109,OPP000021,Prospecting,2024-04-24
SH0000110,OPP000021,Discovery,2024-04-26
SH0000111,OPP000021,Demo,2024-04-28
SH0000112,OPP000021,Proposal,2024-04-30
SH0000113,OPP000021,Negotiation,2024-05-02
SH0000114,OPP000021,Closed Lost,2024-05-04
SH0000115,OPP000022,Prospecting,2024-08-26
SH0000116,OPP000022,Discovery,2024-08-29
SH0000117,OPP000022,Demo,2024-09-01
SH0000118,OPP000022,Proposal,2024-09-04
SH0000119,OPP000022,Negotiation,2024-09-07
SH0000120,OPP000022,Closed Lost,2024-09-10
SH0000121,OPP000023,Prospecting,2025-06-15
SH0000122,OPP000023,Discovery,2025-06-22
SH0000123,OPP000023,Demo,2025-06-29
SH0000124,OPP000023,Proposal,2025-07-06
SH0000125,OPP000023,Negotiation,2025-07-13
SH0000126,OPP000023,Closed Lost,2025-07-20
SH0000127,OPP000024,Prospecting,2024-02-13
SH0000128,OPP000024,Discovery,2024-02-25
SH0000129,OPP000024,Demo,2024-03-08
SH0000130,OPP000024,Proposal,2024-03-20
SH0000131,OPP000024,Negotiation,2024-04-01
SH0000132,OPP000024,Closed Won,2024-04-13
SH0000133,OPP000025,Prospecting,2024-10-17
SH0000134,OPP000025,Discovery,2024-10-27
SH0000135,OPP000025,Demo,2024-11-06
SH0000136,OPP000025,Proposal,2024-11-16
SH0000137,OPP000025,Negotiation,2024-11-26
SH0000138,OPP000025,Closed Won,2024-12-06
SH0000139,OPP000026,Prospecting,2026-02-23
SH0000140,OPP000026,Discovery,2026-03-09
SH0000141,OPP000026,Demo,2026-03-23
SH0000142,OPP000026,Proposal,2026-04-06
SH0000143,OPP000026,Negotiation,2026-04-20
SH0000144,OPP000026,Closed Lost,2026-05-04
SH0000145,OPP000027,Prospecting,2023-01-15
SH0000146,OPP000027,Discovery,2023-01-18
SH0000147,OPP000027,Demo,2023-01-21
SH0000148,OPP000027,Proposal,2023-01-24
SH0000149,OPP000027,Negotiation,2023-01-27
SH0000150,OPP000027,Closed Lost,2023-01-30
SH0000151,OPP000028,Prospecting,2026-04-25
SH0000152,OPP000028,Discovery,2026-05-24
SH0000153,OPP000028,Demo,2026-06-22
SH0000154,OPP000028,Proposal,2026-07-21
SH0000155,OPP000029,Prospecting,2023-07-03
SH0000156,OPP000029,Discovery,2023-07-13
SH0000157,OPP000029,Demo,2023-07-23
SH0000158,OPP000029,Proposal,2023-08-02
SH0000159,OPP000029,Negotiation,2023-08-12
SH0000160,OPP000029,Closed Lost,2023-08-22
SH0000161,OPP000030,Prospecting,2024-02-16
SH0000162,OPP000030,Discovery,2024-03-05
SH0000163,OPP000030,Demo,2024-03-23
SH0000164,OPP000030,Proposal,2024-04-10
SH0000165,OPP000030,Negotiation,2024-04-28
SH0000166,OPP000030,Closed Lost,2024-05-16
SH0000167,OPP000031,Prospecting,2024-07-11
SH0000168,OPP000031,Discovery,2024-07-15
SH0000169,OPP000031,Demo,2024-07-19
SH0000170,OPP000031,Proposal,2024-07-23
SH0000171,OPP000031,Negotiation,2024-07-27
SH0000172,OPP000031,Closed Lost,2024-07-31
SH0000173,OPP000032,Prospecting,2025-03-05
SH0000174,OPP000032,Discovery,2025-03-22
SH0000175,OPP000032,Demo,2025-04-08
SH0000176,OPP000032,Proposal,2025-04-25
SH0000177,OPP000032,Negotiation,2025-05-12
SH0000178,OPP000032,Closed Won,2025-05-29
SH0000179,OPP000033,Prospecting,2023-06-27
SH0000180,OPP000033,Discovery,2023-07-09
SH0000181,OPP000033,Demo,2023-07-21
SH0000182,OPP000033,Proposal,2023-08-02
SH0000183,OPP000033,Negotiation,2023-08-14
SH0000184,OPP000033,Closed Lost,2023-08-26
SH0000185,OPP000034,Prospecting,2024-05-23
SH0000186,OPP000034,Discovery,2024-06-04
SH0000187,OPP000034,Demo,2024-06-16
SH0000188,OPP000034,Proposal,2024-06-28
SH0000189,OPP000034,Negotiation,2024-07-10
SH0000190,OPP000034,Closed Won,2024-07-22
SH0000191,OPP000035,Prospecting,2023-11-12
SH0000192,OPP000035,Discovery,2023-11-26
SH0000193,OPP000035,Demo,2023-12-10
SH0000194,OPP000035,Proposal,2023-12-24
SH0000195,OPP000035,Negotiation,2024-01-07
SH0000196,OPP000035,Closed Won,2024-01-21
SH0000197,OPP000036,Prospecting,2024-07-05
SH0000198,OPP000036,Discovery,2024-07-16
SH0000199,OPP000036,Demo,2024-07-27
SH0000200,OPP000036,Proposal,2024-08-07
SH0000201,OPP000036,Negotiation,2024-08-18
SH0000202,OPP000036,Closed Won,2024-08-29
SH0000203,OPP000037,Prospecting,2024-07-16
SH0000204,OPP000037,Discovery,2024-07-18
SH0000205,OPP000037,Demo,2024-07-20
SH0000206,OPP000037,Proposal,2024-07-22
SH0000207,OPP000037,Negotiation,2024-07-24
SH0000208,OPP000037,Closed Lost,2024-07-26
SH0000209,OPP000038,Prospecting,2025-02-17
SH0000210,OPP000038,Discovery,2025-03-04
SH0000211,OPP000038,Demo,2025-03-19
SH0000212,OPP000038,Proposal,2025-04-03
SH0000213,OPP000038,Negotiation,2025-04-18
SH0000214,OPP000038,Closed Lost,2025-05-03
SH0000215,OPP000039,Prospecting,2025-09-26
SH0000216,OPP000039,Discovery,2025-10-09
SH0000217,OPP000039,Demo,2025-10-22
SH0000218,OPP000039,Proposal,2025-11-04
SH0000219,OPP000039,Negotiation,2025-11-17
SH0000220,OPP000039,Closed Won,2025-11-30
SH0000221,OPP000040,Prospecting,2025-01-06
SH0000222,OPP000040,Discovery,2025-01-25
SH0000223,OPP000040,Demo,2025-02-13
SH0000224,OPP000040,Proposal,2025-03-04
SH0000225,OPP000040,Negotiation,2025-03-23
SH0000226,OPP000040,Closed Won,2025-04-11
SH0000227,OPP000041,Prospecting,2024-12-23
SH0000228,OPP000041,Discovery,2025-01-05
SH0000229,OPP000041,Demo,2025-01-18
SH0000230,OPP000041,Proposal,2025-01-31
SH0000231,OPP000041,Negotiation,2025-02-13
SH0000232,OPP000041,Closed Lost,2025-02-26
SH0000233,OPP000042,Prospecting,2024-03-31
SH0000234,OPP000042,Discovery,2024-04-07
SH0000235,OPP000042,Demo,2024-04-14
SH0000236,OPP000042,Proposal,2024-04-21
SH0000237,OPP000042,Negotiation,2024-04-28
SH0000238,OPP000042,Closed Won,2024-05-05
SH0000239,OPP000043,Prospecting,2024-08-29
SH0000240,OPP000043,Discovery,2024-08-31
SH0000241,OPP000043,Demo,2024-09-02
SH0000242,OPP000043,Proposal,2024-09-04
SH0000243,OPP000043,Negotiation,2024-09-06
SH0000244,OPP000043,Closed Won,2024-09-08
SH0000245,OPP000044,Prospecting,2025-04-16
SH0000246,OPP000044,Discovery,2025-05-04
SH0000247,OPP000044,Demo,2025-05-22
SH0000248,OPP000044,Proposal,2025-06-09
SH0000249,OPP000044,Negotiation,2025-06-27
SH0000250,OPP000044,Closed Lost,2025-07-15
SH0000251,OPP000045,Prospecting,2024-07-16
SH0000252,OPP000045,Discovery,2024-07-25
SH0000253,OPP000045,Demo,2024-08-03
SH0000254,OPP000045,Proposal,2024-08-12
SH0000255,OPP000045,Negotiation,2024-08-21
SH0000256,OPP000045,Closed Lost,2024-08-30
SH0000257,OPP000046,Prospecting,2025-03-16
SH0000258,OPP000046,Demo,2025-04-18
SH0000259,OPP000046,Closed Lost,2025-05-21
SH0000260,OPP000047,Prospecting,2024-01-28
SH0000261,OPP000047,Discovery,2024-02-09
SH0000262,OPP000047,Demo,2024-02-21
SH0000263,OPP000047,Proposal,2024-03-04
SH0000264,OPP000047,Negotiation,2024-03-16
SH0000265,OPP000047,Closed Lost,2024-03-28
SH0000266,OPP000048,Prospecting,2023-10-21
SH0000267,OPP000048,Discovery,2023-11-08
SH0000268,OPP000048,Demo,2023-11-26
SH0000269,OPP000048,Proposal,2023-12-14
SH0000270,OPP000048,Negotiation,2024-01-01
SH0000271,OPP000048,Closed Lost,2024-01-19
SH0000272,OPP000049,Prospecting,2024-05-22
SH0000273,OPP000049,Discovery,2024-05-30
SH0000274,OPP000049,Demo,2024-06-07
SH0000275,OPP000049,Proposal,2024-06-15
SH0000276,OPP000049,Negotiation,2024-06-23
SH0000277,OPP000049,Closed Lost,2024-07-01
SH0000278,OPP000050,Prospecting,2025-03-13
SH0000279,OPP000050,Discovery,2025-03-30
SH0000280,OPP000050,Demo,2025-04-16
SH0000281,OPP000050,Proposal,2025-05-03
SH0000282,OPP000050,Negotiation,2025-05-20
SH0000283,OPP000050,Closed Won,2025-06-06
SH0000284,OPP000051,Prospecting,2024-10-25
SH0000285,OPP000051,Discovery,2024-11-11
SH0000286,OPP000051,Demo,2024-11-28
SH0000287,OPP000051,Proposal,2024-12-15
SH0000288,OPP000051,Negotiation,2025-01-01
SH0000289,OPP000051,Closed Lost,2025-01-18
SH0000290,OPP000052,Prospecting,2024-12-23
SH0000291,OPP000052,Discovery,2025-01-08
SH0000292,OPP000052,Demo,2025-01-24
SH0000293,OPP000052,Proposal,2025-02-09
SH0000294,OPP000052,Negotiation,2025-02-25
SH0000295,OPP000052,Closed Lost,2025-03-13
SH0000296,OPP000053,Prospecting,2025-09-17
SH0000297,OPP000053,Discovery,2025-10-02
SH0000298,OPP000053,Demo,2025-10-17
SH0000299,OPP000053,Proposal,2025-11-01
SH0000300,OPP000053,Negotiation,2025-11-16
SH0000301,OPP000053,Closed Lost,2025-12-01
SH0000302,OPP000054,Prospecting,2023-02-21
SH0000303,OPP000054,Discovery,2023-03-10
SH0000304,OPP000054,Demo,2023-03-27
SH0000305,OPP000054,Proposal,2023-04-13
SH0000306,OPP000054,Negotiation,2023-04-30
SH0000307,OPP000054,Closed Won,2023-05-17
SH0000308,OPP000055,Prospecting,2023-10-07
SH0000309,OPP000055,Discovery,2023-10-17
SH0000310,OPP000055,Demo,2023-10-27
SH0000311,OPP000055,Proposal,2023-11-06
SH0000312,OPP000055,Negotiation,2023-11-16
SH0000313,OPP000055,Closed Won,2023-11-26
SH0000314,OPP000056,Prospecting,2025-08-30
SH0000315,OPP000056,Discovery,2025-09-10
SH0000316,OPP000056,Demo,2025-09-21
SH0000317,OPP000056,Proposal,2025-10-02
SH0000318,OPP000056,Negotiation,2025-10-13
SH0000319,OPP000056,Closed Won,2025-10-24
SH0000320,OPP000057,Prospecting,2025-10-03
SH0000321,OPP000057,Discovery,2025-10-22
SH0000322,OPP000057,Demo,2025-11-10
SH0000323,OPP000057,Proposal,2025-11-29
SH0000324,OPP000057,Negotiation,2025-12-18
SH0000325,OPP000057,Closed Lost,2026-01-06
SH0000326,OPP000058,Prospecting,2026-06-11
SH0000327,OPP000059,Prospecting,2024-08-11
SH0000328,OPP000059,Discovery,2024-08-19
SH0000329,OPP000059,Demo,2024-08-27
SH0000330,OPP000059,Proposal,2024-09-04
SH0000331,OPP000059,Negotiation,2024-09-12
SH0000332,OPP000059,Closed Lost,2024-09-20
SH0000333,OPP000060,Prospecting,2023-05-27
SH0000334,OPP000060,Discovery,2023-06-11
SH0000335,OPP000060,Demo,2023-06-26
SH0000336,OPP000060,Proposal,2023-07-11
SH0000337,OPP000060,Negotiation,2023-07-26
SH0000338,OPP000060,Closed Lost,2023-08-10
SH0000339,OPP000061,Prospecting,2024-01-20
SH0000340,OPP000061,Demo,2024-02-01
SH0000341,OPP000061,Closed Lost,2024-02-13
SH0000342,OPP000062,Prospecting,2023-02-11
SH0000343,OPP000062,Discovery,2023-02-17
SH0000344,OPP000062,Demo,2023-02-23
SH0000345,OPP000062,Proposal,2023-03-01
SH0000346,OPP000062,Negotiation,2023-03-07
SH0000347,OPP000062,Closed Won,2023-03-13
SH0000348,OPP000063,Prospecting,2024-08-03
SH0000349,OPP000063,Discovery,2024-08-21
SH0000350,OPP000063,Demo,2024-09-08
SH0000351,OPP000063,Proposal,2024-09-26
SH0000352,OPP000063,Negotiation,2024-10-14
SH0000353,OPP000063,Closed Won,2024-11-01
SH0000354,OPP000064,Prospecting,2025-03-23
SH0000355,OPP000064,Discovery,2025-04-06
SH0000356,OPP000064,Demo,2025-04-20
SH0000357,OPP000064,Proposal,2025-05-04
SH0000358,OPP000064,Negotiation,2025-05-18
SH0000359,OPP000064,Closed Won,2025-06-01
SH0000360,OPP000065,Prospecting,2025-04-27
SH0000361,OPP000065,Discovery,2025-05-16
SH0000362,OPP000065,Demo,2025-06-04
SH0000363,OPP000065,Proposal,2025-06-23
SH0000364,OPP000065,Negotiation,2025-07-12
SH0000365,OPP000065,Closed Lost,2025-07-31
SH0000366,OPP000066,Prospecting,2024-11-02
SH0000367,OPP000066,Discovery,2024-11-17
SH0000368,OPP000066,Demo,2024-12-02
SH0000369,OPP000066,Proposal,2024-12-17
SH0000370,OPP000066,Negotiation,2025-01-01
SH0000371,OPP000066,Closed Won,2025-01-16
SH0000372,OPP000067,Prospecting,2025-07-24
SH0000373,OPP000067,Discovery,2025-08-10
SH0000374,OPP000067,Demo,2025-08-27
SH0000375,OPP000067,Proposal,2025-09-13
SH0000376,OPP000067,Negotiation,2025-09-30
SH0000377,OPP000067,Closed Lost,2025-10-17
SH0000378,OPP000068,Prospecting,2023-04-17
SH0000379,OPP000068,Discovery,2023-04-20
SH0000380,OPP000068,Demo,2023-04-23
SH0000381,OPP000068,Proposal,2023-04-26
SH0000382,OPP000068,Negotiation,2023-04-29
SH0000383,OPP000068,Closed Lost,2023-05-02
SH0000384,OPP000069,Prospecting,2023-10-26
SH0000385,OPP000069,Discovery,2023-11-14
SH0000386,OPP000069,Demo,2023-12-03
SH0000387,OPP000069,Proposal,2023-12-22
SH0000388,OPP000069,Negotiation,2024-01-10
SH0000389,OPP000069,Closed Lost,2024-01-29
SH0000390,OPP000070,Prospecting,2023-09-20
SH0000391,OPP000070,Discovery,2023-10-02
SH0000392,OPP000070,Demo,2023-10-14
SH0000393,OPP000070,Proposal,2023-10-26
SH0000394,OPP000070,Negotiation,2023-11-07
SH0000395,OPP000070,Closed Won,2023-11-19
SH0000396,OPP000071,Prospecting,2024-04-21
SH0000397,OPP000071,Discovery,2024-05-01
SH0000398,OPP000071,Demo,2024-05-11
SH0000399,OPP000071,Proposal,2024-05-21
SH0000400,OPP000071,Negotiation,2024-05-31
SH0000401,OPP000071,Closed Lost,2024-06-10
SH0000402,OPP000072,Prospecting,2024-02-15
SH0000403,OPP000072,Discovery,2024-03-03
SH0000404,OPP000072,Demo,2024-03-20
SH0000405,OPP000072,Proposal,2024-04-06
SH0000406,OPP000072,Negotiation,2024-04-23
SH0000407,OPP000072,Closed Lost,2024-05-10
SH0000408,OPP000073,Prospecting,2026-04-11
SH0000409,OPP000073,Demo,2026-04-30
SH0000410,OPP000073,Closed Lost,2026-05-19
SH0000411,OPP000074,Prospecting,2025-10-17
SH0000412,OPP000074,Discovery,2025-10-28
SH0000413,OPP000074,Demo,2025-11-08
SH0000414,OPP000074,Proposal,2025-11-19
SH0000415,OPP000074,Negotiation,2025-11-30
SH0000416,OPP000074,Closed Lost,2025-12-11
SH0000417,OPP000075,Prospecting,2026-06-12
SH0000418,OPP000075,Discovery,2026-08-04
SH0000419,OPP000076,Prospecting,2026-01-18
SH0000420,OPP000076,Discovery,2026-01-22
SH0000421,OPP000076,Demo,2026-01-26
SH0000422,OPP000076,Proposal,2026-01-30
SH0000423,OPP000076,Negotiation,2026-02-03
SH0000424,OPP000076,Closed Lost,2026-02-07
SH0000425,OPP000077,Prospecting,2024-06-27
SH0000426,OPP000077,Discovery,2024-07-03
SH0000427,OPP000077,Demo,2024-07-09
SH0000428,OPP000077,Proposal,2024-07-15
SH0000429,OPP000077,Negotiation,2024-07-21
SH0000430,OPP000077,Closed Lost,2024-07-27
SH0000431,OPP000078,Prospecting,2025-02-08
SH0000432,OPP000078,Discovery,2025-02-10
SH0000433,OPP000078,Demo,2025-02-12
SH0000434,OPP000078,Proposal,2025-02-14
SH0000435,OPP000078,Negotiation,2025-02-16
SH0000436,OPP000078,Closed Lost,2025-02-18
SH0000437,OPP000079,Prospecting,2024-06-26
SH0000438,OPP000079,Discovery,2024-07-13
SH0000439,OPP000079,Demo,2024-07-30
SH0000440,OPP000079,Proposal,2024-08-16
SH0000441,OPP000079,Negotiation,2024-09-02
SH0000442,OPP000079,Closed Won,2024-09-19
SH0000443,OPP000080,Prospecting,2025-10-11
SH0000444,OPP000080,Discovery,2025-10-23
SH0000445,OPP000080,Demo,2025-11-04
SH0000446,OPP000080,Proposal,2025-11-16
SH0000447,OPP000080,Negotiation,2025-11-28
SH0000448,OPP000080,Closed Lost,2025-12-10
SH0000449,OPP000081,Prospecting,2024-06-06
SH0000450,OPP000081,Discovery,2024-06-19
SH0000451,OPP000081,Demo,2024-07-02
SH0000452,OPP000081,Proposal,2024-07-15
SH0000453,OPP000081,Negotiation,2024-07-28
SH0000454,OPP000081,Closed Won,2024-08-10
SH0000455,OPP000082,Prospecting,2024-07-26
SH0000456,OPP000082,Discovery,2024-07-31
SH0000457,OPP000082,Demo,2024-08-05
SH0000458,OPP000082,Proposal,2024-08-10
SH0000459,OPP000082,Negotiation,2024-08-15
SH0000460,OPP000082,Closed Lost,2024-08-20
SH0000461,OPP000083,Prospecting,2025-09-20
SH0000462,OPP000083,Discovery,2025-10-01
SH0000463,OPP000083,Demo,2025-10-12
SH0000464,OPP000083,Proposal,2025-10-23
SH0000465,OPP000083,Negotiation,2025-11-03
SH0000466,OPP000083,Closed Lost,2025-11-14
SH0000467,OPP000084,Prospecting,2024-10-03
SH0000468,OPP000084,Discovery,2024-10-19
SH0000469,OPP000084,Demo,2024-11-04
SH0000470,OPP000084,Proposal,2024-11-20
SH0000471,OPP000084,Negotiation,2024-12-06
SH0000472,OPP000084,Closed Lost,2024-12-22
SH0000473,OPP000085,Prospecting,2025-10-07
SH0000474,OPP000085,Discovery,2025-10-21
SH0000475,OPP000085,Demo,2025-11-04
SH0000476,OPP000085,Proposal,2025-11-18
SH0000477,OPP000085,Negotiation,2025-12-02
SH0000478,OPP000085,Closed Won,2025-12-16
SH0000479,OPP000086,Prospecting,2025-10-09
SH0000480,OPP000086,Discovery,2025-10-25
SH0000481,OPP000086,Demo,2025-11-10
SH0000482,OPP000086,Proposal,2025-11-26
SH0000483,OPP000086,Negotiation,2025-12-12
SH0000484,OPP000086,Closed Lost,2025-12-28
SH0000485,OPP000087,Prospecting,2026-05-28
SH0000486,OPP000087,Discovery,2026-07-07
SH0000487,OPP000088,Prospecting,2024-06-22
SH0000488,OPP000088,Discovery,2024-06-29
SH0000489,OPP000088,Demo,2024-07-06
SH0000490,OPP000088,Proposal,2024-07-13
SH0000491,OPP000088,Negotiation,2024-07-20
SH0000492,OPP000088,Closed Won,2024-07-27
SH0000493,OPP000089,Prospecting,2024-09-30
SH0000494,OPP000089,Discovery,2024-10-11
SH0000495,OPP000089,Demo,2024-10-22
SH0000496,OPP000089,Proposal,2024-11-02
SH0000497,OPP000089,Negotiation,2024-11-13
SH0000498,OPP000089,Closed Won,2024-11-24
SH0000499,OPP000090,Prospecting,2023-07-28
SH0000500,OPP000090,Discovery,2023-07-30
SH0000501,OPP000090,Demo,2023-08-01
SH0000502,OPP000090,Proposal,2023-08-03
SH0000503,OPP000090,Negotiation,2023-08-05
SH0000504,OPP000090,Closed Won,2023-08-07
SH0000505,OPP000091,Prospecting,2023-03-19
SH0000506,OPP000091,Discovery,2023-04-02
SH0000507,OPP000091,Demo,2023-04-16
SH0000508,OPP000091,Proposal,2023-04-30
SH0000509,OPP000091,Negotiation,2023-05-14
SH0000510,OPP000091,Closed Lost,2023-05-28
SH0000511,OPP000092,Prospecting,2024-03-13
SH0000512,OPP000092,Discovery,2024-03-29
SH0000513,OPP000092,Demo,2024-04-14
SH0000514,OPP000092,Proposal,2024-04-30
SH0000515,OPP000092,Negotiation,2024-05-16
SH0000516,OPP000092,Closed Lost,2024-06-01
SH0000517,OPP000093,Prospecting,2024-10-02
SH0000518,OPP000093,Discovery,2024-10-11
SH0000519,OPP000093,Demo,2024-10-20
SH0000520,OPP000093,Proposal,2024-10-29
SH0000521,OPP000093,Negotiation,2024-11-07
SH0000522,OPP000093,Closed Lost,2024-11-16
SH0000523,OPP000094,Prospecting,2026-06-12
SH0000524,OPP000095,Prospecting,2023-03-05
SH0000525,OPP000095,Discovery,2023-03-22
SH0000526,OPP000095,Demo,2023-04-08
SH0000527,OPP000095,Proposal,2023-04-25
SH0000528,OPP000095,Negotiation,2023-05-12
SH0000529,OPP000095,Closed Lost,2023-05-29
SH0000530,OPP000096,Prospecting,2025-10-12
SH0000531,OPP000096,Discovery,2025-10-15
SH0000532,OPP000096,Demo,2025-10-18
SH0000533,OPP000096,Proposal,2025-10-21
SH0000534,OPP000096,Negotiation,2025-10-24
SH0000535,OPP000096,Closed Lost,2025-10-27
SH0000536,OPP000097,Prospecting,2024-09-23
SH0000537,OPP000097,Discovery,2024-10-08
SH0000538,OPP000097,Demo,2024-10-23
SH0000539,OPP000097,Proposal,2024-11-07
SH0000540,OPP000097,Negotiation,2024-11-22
SH0000541,OPP000097,Closed Won,2024-12-07
SH0000542,OPP000098,Prospecting,2025-05-04
SH0000543,OPP000098,Discovery,2025-05-08
SH0000544,OPP000098,Demo,2025-05-12
SH0000545,OPP000098,Proposal,2025-05-16
SH0000546,OPP000098,Negotiation,2025-05-20
SH0000547,OPP000098,Closed Lost,2025-05-24
SH0000548,OPP000099,Prospecting,2025-06-30
SH0000549,OPP000099,Discovery,2025-07-19
SH0000550,OPP000099,Demo,2025-08-07
SH0000551,OPP000099,Proposal,2025-08-26
SH0000552,OPP000099,Negotiation,2025-09-14
SH0000553,OPP000099,Closed Lost,2025-10-03
SH0000554,OPP000100,Prospecting,2026-06-02
SH0000555,OPP000100,Discovery,2026-07-11
SH0000556,OPP000100,Demo,2026-08-19
SH0000557,OPP000101,Prospecting,2023-12-01
SH0000558,OPP000101,Discovery,2023-12-06
SH0000559,OPP000101,Demo,2023-12-11
SH0000560,OPP000101,Proposal,2023-12-16
SH0000561,OPP000101,Negotiation,2023-12-21
SH0000562,OPP000101,Closed Won,2023-12-26
SH0000563,OPP000102,Prospecting,2024-07-30
SH0000564,OPP000102,Discovery,2024-08-17
SH0000565,OPP000102,Demo,2024-09-04
SH0000566,OPP000102,Proposal,2024-09-22
SH0000567,OPP000102,Negotiation,2024-10-10
SH0000568,OPP000102,Closed Lost,2024-10-28
SH0000569,OPP000103,Prospecting,2023-11-05
SH0000570,OPP000103,Demo,2023-11-14
SH0000571,OPP000103,Closed Lost,2023-11-23
