account_id,account_name,segment,industry,billing_state,billing_region,employee_count,created_date
ACC00098,Cornerstone & Co.,Small Team,Luxury Residential,NV,West,2,2023-06-04
ACC00099,Foxglove Group,Small Team,Commercial Real Estate,MO,Midwest,8,2025-07-20
ACC00100,Cypress Group,Small Team,Residential Real Estate,WA,West,7,2025-08-23
ACC00101,Summit Group,Small Team,luxury residential,MN,Midwest,2,2023-08-27
ACC00102,Stonebridge Properties,Solo Agent,Property Management,CO,Southwest,1,2025-01-29
ACC00103,Cornerstone Partners,Brokerage,Residential Real Estate,TN,Southeast,81,2024-07-26
ACC00104,Cornerstone Realty,Small Team,Residential Real Estate,MN,Midwest,7,2025-01-04
ACC00105,Ridgeline Real Estate,Brokerage,Commercial Real Estate,MA,Northeast,137,2023-04-14
ACC00106,Meridian Realty,Solo Agent,Commercial Real Estate,NJ,Northeast,1,2024-04-22
ACC00107,Cornerstone Real Estate,Solo Agent,luxury residential,NM,Southwest,1,2023-02-22
ACC00108,Beacon Partners,Small Team,Residential Real Estate,NM,Southwest,5,2025-12-13
ACC00109,Summit Realty,Solo Agent,Commercial Real Estate,CT,Northeast,1,2025-12-03
ACC00110,Lakeshore Real Estate,Small Team,Residential Real Estate,GA,Southeast,3,2025-06-27
ACC00111,Cypress Group,Small Team,Property Management,CT,Northeast,2,2024-10-27
ACC00112,Cornerstone Partners,Small Team,Property Management,NJ,Northeast,5,2024-03-16
ACC00113,Foxglove Partners,Solo Agent,Commercial Real Estate,IL,Midwest,1,2024-06-06
ACC00114,Meridian Real Estate,Solo Agent,Luxury Residential,SC,Southeast,1,2025-02-02
ACC00115,Meridian Group,Large Team,Residential Real Estate,MI,Midwest,25,2025-05-16
ACC00116,Cypress Group,Small Team,Residential Real Estate,TX,Southwest,6,2024-04-04
ACC00117,Foxglove & Co.,Brokerage,Residential Real Estate,NJ,Northeast,390,2026-02-14
ACC00118,Ridgeline Real Estate,Brokerage,Residential Real Estate,MN,Midwest,46,2024-12-19
ACC00119,Lakeshore Properties,Small Team,Property Management,OR,West,7,2024-03-16
ACC00120,Meridian Realty,Solo Agent,Luxury Residential,NY,Northeast,1,2023-04-18
ACC00121,Cypress Realty,Small Team,Commercial Real Estate,NC,Southeast,2,2025-04-28
ACC00122,Meridian Realty,Small Team,Residential Real Estate,NY,Northeast,4,2024-09-23
ACC00123,Ironwood Properties,Solo Agent,Residential Real Estate,OH,Midwest,1,2023-09-03
ACC00124,Stonebridge Realty,Large Team,Residential Real Estate,CT,Northeast,11,2024-12-26
ACC00125,Ironwood Realty,Solo Agent,Property Management,NJ,Northeast,1,2025-04-08
ACC00126,Ironwood Real Estate,Solo Agent,Luxury Residential,IL,Midwest,1,2023-08-05
ACC00127,Harbor Real Estate,Solo Agent,Residential Real Estate,AZ,Southwest,1,2023-12-11
ACC00128,Ridgeline & Co.,Solo Agent,Luxury Residential,TX,Southwest,1,2024-06-08
ACC00129,Meridian & Co.,Small Team,Property Management,SC,Southeast,8,2026-04-01
ACC00130,Blackwood Real Estate,Solo Agent,Property Management,TX,Southwest,1,2025-08-18
ACC00131,Harbor & Co.,Solo Agent,Commercial Real Estate,FL,Southeast,1,2023-04-27
ACC00132,Beacon Real Estate,Solo Agent,Luxury Residential,WA,West,1,2026-03-16
ACC00133,Beacon Partners,Small Team,Residential Real Estate,WA,West,4,2023-12-20
ACC00134,Foxglove Group,Large Team,Residential Real Estate,FL,Southeast,26,2026-05-09
ACC00135,Meridian & Co.,Solo Agent,Luxury Residential,GA,Southeast,1,2026-05-19
ACC00136,Foxglove Group,Solo Agent,Commercial Real Estate,GA,Southeast,1,2023-06-23
ACC00137,Cornerstone Group,Solo Agent,Commercial Real Estate,CT,Northeast,1,2025-01-12
ACC00138,Meridian Properties,Solo Agent,Residential Real Estate,NV,West,1,2023-07-27
ACC00139,Lakeshore & Co.,Large Team,property management,MA,Northeast,18,2023-12-06
ACC00140,Cornerstone Group,Small Team,Property Management,CO,Southwest,8,2024-09-25
ACC00141,Ridgeline Group,Small Team,Luxury Residential,NY,Northeast,8,2023-11-28
ACC00142,Ridgeline Group,Small Team,Residential Real Estate,NV,West,8,2025-11-22
ACC00143,Ironwood Real Estate,Large Team,Residential Real Estate,NM,Southwest,11,2024-12-16
ACC00144,Ridgeline Realty,Solo Agent,Commercial Real Estate,NM,Southwest,1,2023-07-22
ACC00145,Cornerstone Properties,Solo Agent,residential real estate,SC,Southeast,1,2023-01-11
ACC00146,Meridian Partners,Solo Agent,Property Management,IL,Midwest,1,2024-05-03
ACC00147,Blackwood Partners,Solo Agent,Luxury Residential,NY,Northeast,1,2025-11-21
ACC00148,Cypress Real Estate,Small Team,Commercial Real Estate,TX,Southwest,8,2023-06-25
ACC00149,Harbor Group,Brokerage,Residential Real Estate,GA,Southeast,201,2024-06-03
ACC00150,Ridgeline & Co.,Solo Agent,Commercial Real Estate,CO,Southwest,1,2026-01-23
ACC00151,Summit Properties,Small Team,Residential Real Estate,CA,West,4,2025-07-26
ACC00152,Summit & Co.,Small Team,Luxury Residential,NJ,Northeast,2,2023-03-16
ACC00153,Beacon & Co.,Small Team,Commercial Real Estate,TN,Southeast,8,2025-03-02
ACC00154,Ridgeline Real Estate,Small Team,Property Management,OR,West,2,2023-06-11
ACC00155,Beacon Group,Solo Agent,Property Management,MN,Midwest,1,2026-05-19
ACC00156,Ironwood Group,Solo Agent,Residential Real Estate,SC,Southeast,1,2023-04-28
ACC00157,Lakeshore Group,Solo Agent,Luxury Residential,TN,Southeast,1,2023-05-18
ACC00158,Meridian Properties,Brokerage,Property Management,SC,Southeast,363,2025-01-31
ACC00159,Beacon Real Estate,Solo Agent,Residential Real Estate,MN,Midwest,1,2023-08-21
ACC00160,Ridgeline Realty,Solo Agent,Property Management,TN,Southeast,1,2024-08-07
ACC00161,Ridgeline & Co.,Small Team,Commercial Real Estate,OH,Midwest,6,2023-05-13
ACC00162,Cypress Real Estate,Large Team,property management,NM,Southwest,26,2024-04-29
ACC00163,Stonebridge & Co.,Large Team,Commercial Real Estate,CT,Northeast,22,2023-05-15
ACC00164,Foxglove Real Estate,Solo Agent,Residential Real Estate,OR,West,1,2024-10-11
ACC00165,Summit Realty,Solo Agent,Property Management,PA,Northeast,1,2023-09-22
ACC00166,Cypress Group,Brokerage,Commercial Real Estate,IL,Midwest,313,2024-04-06
ACC00167,Ridgeline Real Estate,Solo Agent,Residential Real Estate,MO,Midwest,1,2024-09-12
ACC00168,Summit Realty,Solo Agent,Residential Real Estate,NY,Northeast,1,2026-02-28
ACC00169,Cypress Group,Small Team,Property Management,NC,Southeast,3,2023-03-04
ACC00170,Beacon Partners,Solo Agent,Luxury Residential,OH,Midwest,1,2023-05-03
ACC00171,Lakeshore Real Estate,Small Team,Property Management,MO,Midwest,4,2024-12-08
ACC00172,Blackwood Partners,Solo Agent,Luxury Residential,NV,West,1,2024-05-22
ACC00173,Cypress Partners,Small Team,Luxury Residential,CT,Northeast,5,2024-01-24
ACC00174,Summit Realty,Small Team,Luxury Residential,NC,Southeast,6,2024-05-08
ACC00175,Blackwood & Co.,Solo Agent,Residential Real Estate,NC,Southeast,1,2023-01-17
ACC00176,Harbor Partners,Small Team,Commercial Real Estate,NV,West,8,2024-02-03
ACC00177,Lakeshore Real Estate,Solo Agent,Property Management,NJ,Northeast,1,2023-07-18
ACC00178,Lakeshore Partners,Small Team,Residential Real Estate,SC,Southeast,3,2023-04-03
ACC00179,Meridian & Co.,Solo Agent,Luxury Residential,NM,Southwest,1,2024-10-14
ACC00180,Lakeshore Group,Small Team,Property Management,FL,Southeast,6,2024-09-05
ACC00181,Meridian Partners,Small Team,Luxury Residential,WA,West,3,2024-06-27
ACC00182,Lakeshore Partners,Small Team,luxury residential,WA,West,7,2023-08-14
ACC00183,Cypress Properties,Large Team,Residential Real Estate,PA,Northeast,24,2025-08-23
ACC00184,Lakeshore Real Estate,Solo Agent,Property Management,NC,Southeast,1,2023-12-21
ACC00185,Blackwood Group,Solo Agent,Luxury Residential,AZ,Southwest,1,2024-09-03
ACC00186,Foxglove Real Estate,Brokerage,Commercial Real Estate,CT,Northeast,105,2024-07-14
ACC00187,Foxglove Group,Solo Agent,Commercial Real Estate,MN,Midwest,1,2023-06-11
ACC00188,Meridian Properties,Small Team,Residential Real Estate,MA,Northeast,7,2023-10-09
ACC00189,Harbor & Co.,Solo Agent,Commercial Real Estate,AZ,Southwest,1,2025-04-26
ACC00190,Foxglove Realty,Small Team,Commercial Real Estate,FL,Southeast,6,2024-02-13
ACC00191,Ironwood Partners,Large Team,Residential Real Estate,GA,Southeast,9,2023-12-27
ACC00192,Foxglove Real Estate,Small Team,Commercial Real Estate,PA,Northeast,3,2024-11-17
ACC00193,Beacon & Co.,Solo Agent,Commercial Real Estate,MI,Midwest,1,2023-08-19
ACC00194,Foxglove Partners,Small Team,Luxury Residential,CT,Northeast,2,2024-01-31
ACC00195,Cornerstone Realty,Solo Agent,Property Management,OR,West,1,2023-10-15
ACC00196,Lakeshore & Co.,Solo Agent,Residential Real Estate,OH,Midwest,1,2026-03-19
ACC00197,Foxglove Group,Solo Agent,Commercial Real Estate,MI,Midwest,1,2025-10-26
ACC00198,Cypress Partners,Solo Agent,Commercial Real Estate,AZ,Southwest,1,2026-05-25
ACC00199,Harbor Realty,Solo Agent,Residential Real Estate,PA,Northeast,1,2025-01-10
ACC00200,Cornerstone & Co.,Solo Agent,Property Management,CO,Southwest,1,2025-12-01
ACC00201,Cypress Partners,Solo Agent,Property Management,NC,Southeast,1,2025-04-30
ACC00202,Harbor Real Estate,Small Team,Property Management,TX,Southwest,5,2023-04-03
ACC00203,Ironwood Partners,Solo Agent,Property Management,TN,Southeast,1,2023-10-05
ACC00204,Cypress Partners,Solo Agent,Residential Real Estate,PA,Northeast,1,2024-12-13
ACC00205,Cornerstone Properties,Brokerage,Property Management,NV,West,127,2025-08-06
ACC00206,Harbor Realty,Solo Agent,Residential Real Estate,CA,West,1,2025-05-08
ACC00207,Cypress Properties,Solo Agent,Property Management,CA,West,1,2023-04-01
ACC00208,Ridgeline & Co.,Solo Agent,Commercial Real Estate,PA,Northeast,1,2026-05-09
ACC00209,Ironwood Real Estate,Small Team,Luxury Residential,NV,West,4,2026-04-26
ACC00210,Blackwood Partners,Large Team,Property Management,GA,Southeast,16,2024-10-14
ACC00211,Cypress Real Estate,Large Team,Property Management,AZ,Southwest,17,2023-04-29
ACC00212,Stonebridge Properties,Small Team,Commercial Real Estate,IL,Midwest,5,2025-07-10
ACC00213,Meridian & Co.,Solo Agent,Luxury Residential,PA,Northeast,1,2023-05-30
ACC00214,Stonebridge Realty,Brokerage,Luxury Residential,MN,Midwest,391,2023-02-01
ACC00215,Ironwood Partners,Solo Agent,Commercial Real Estate,NM,Southwest,1,2024-05-05
ACC00216,Lakeshore Group,Small Team,Commercial Real Estate,TN,Southeast,6,2025-08-19
ACC00217,Cornerstone Group,Solo Agent,Property Management,WA,West,1,2026-04-11
ACC00218,Beacon & Co.,Small Team,Commercial Real Estate,CT,Northeast,3,2024-11-22
ACC00219,Cypress & Co.,Small Team,Luxury Residential,TX,Southwest,8,2025-09-27
ACC00220,Cornerstone Realty,Large Team,Luxury Residential,WA,West,25,2025-04-24
ACC00221,Cypress Real Estate,Solo Agent,property management,MN,Midwest,1,2025-09-16
ACC00222,Stonebridge & Co.,Small Team,Residential Real Estate,MN,Midwest,2,2024-08-10
ACC00223,Blackwood Partners,Solo Agent,Commercial Real Estate,TX,Southwest,1,2025-12-14
ACC00224,Harbor & Co.,Brokerage,Commercial Real Estate,TX,Southwest,224,2024-04-07
ACC00225,Ironwood & Co.,Small Team,Luxury Residential,NJ,Northeast,6,2023-01-20
ACC00226,Harbor & Co.,Large Team,Property Management,NM,Southwest,19,2026-03-06
ACC00227,Meridian Properties,Small Team,Residential Real Estate,CO,Southwest,5,2025-03-26
ACC00228,Cornerstone Realty,Small Team,Residential Real Estate,OR,West,8,2024-12-09
ACC00229,Cypress Partners,Large Team,Property Management,MN,Midwest,27,2025-07-11
ACC00230,Harbor Group,Solo Agent,Luxury Residential,GA,Southeast,1,2024-08-27
ACC00231,Blackwood Partners,Solo Agent,residential real estate,NC,Southeast,1,2023-08-07
ACC00232,Harbor Group,Solo Agent,Property Management,TX,Southwest,1,2026-02-14
ACC00233,Ridgeline & Co.,Solo Agent,Luxury Residential,MN,Midwest,1,2023-06-23
ACC00234,Ironwood Group,Small Team,Luxury Residential,MN,Midwest,4,2023-05-10
ACC00235,Blackwood Realty,Small Team,Property Management,TN,Southeast,8,2024-02-05
ACC00236,Meridian & Co.,Solo Agent,Luxury Residential,OH,Midwest,1,2025-05-31
ACC00237,Blackwood Partners,Solo Agent,Luxury Residential,MI,Midwest,1,2025-10-02
ACC00238,Beacon & Co.,Solo Agent,Residential Real Estate,MA,Northeast,1,2026-01-31
ACC00239,Blackwood Properties,Large Team,Property Management,OR,West,22,2025-04-17
ACC00240,Cypress Real Estate,Solo Agent,Property Management,NV,West,1,2026-05-09
ACC00241,Foxglove & Co.,Small Team,Residential Real Estate,NJ,Northeast,7,2023-06-24
ACC00242,Ironwood Realty,Brokerage,Commercial Real Estate,NY,Northeast,292,2025-03-29
ACC00243,Ironwood Partners,Small Team,Luxury Residential,PA,Northeast,4,2026-03-24
ACC00244,Stonebridge Properties,Solo Agent,Residential Real Estate,OR,West,1,2023-06-25
ACC00245,Stonebridge Partners,Small Team,Residential Real Estate,NJ,Northeast,4,2025-09-02
ACC00246,Ridgeline & Co.,Solo Agent,Residential Real Estate,WA,West,1,2024-12-03
ACC00247,Foxglove Properties,Solo Agent,Luxury Residential,MA,Northeast,1,2025-08-04
ACC00248,Cornerstone Properties,Solo Agent,property management,NM,Southwest,1,2025-05-29
ACC00249,Foxglove Partners,Solo Agent,Property Management,NM,Southwest,1,2024-02-08
ACC00250,Stonebridge Group,Solo Agent,Luxury Residential,CA,West,1,2025-07-26
ACC00251,Ironwood Real Estate,Solo Agent,Luxury Residential,OH,Midwest,1,2025-02-03
ACC00252,Ridgeline Properties,Small Team,Luxury Residential,NJ,Northeast,6,2023-12-21
ACC00253,Cypress & Co.,Small Team,Property Management,NV,West,7,2024-02-04
ACC00254,Cornerstone Group,Small Team,Residential Real Estate,FL,Southeast,3,2023-06-19
ACC00255,Harbor Real Estate,Large Team,Property Management,TX,Southwest,26,2026-03-04
ACC00256,Ironwood Realty,Large Team,Property Management,MA,Northeast,10,2023-03-27
ACC00257,Harbor Properties,Solo Agent,Property Management,OH,Midwest,1,2023-06-28
ACC00258,Summit Real Estate,Solo Agent,Luxury Residential,NC,Southeast,1,2023-10-13
ACC00259,Cypress & Co.,Brokerage,Commercial Real Estate,IL,Midwest,61,2024-08-22
ACC00260,Stonebridge Group,Large Team,Luxury Residential,OH,Midwest,13,2023-09-17
ACC00261,Harbor Partners,Small Team,Property Management,MO,Midwest,7,2025-02-07
ACC00262,Beacon & Co.,Solo Agent,Residential Real Estate,NC,Southeast,1,2023-01-06
ACC00263,Blackwood Group,Brokerage,Property Management,AZ,Southwest,380,2024-03-09
ACC00264,Ridgeline Partners,Solo Agent,Residential Real Estate,NV,West,1,2025-07-30
ACC00265,Blackwood Realty,Large Team,Luxury Residential,NM,Southwest,20,2024-09-10
ACC00266,Harbor & Co.,Solo Agent,Luxury Residential,TX,Southwest,1,2024-09-17
ACC00267,Stonebridge Group,Small Team,property management,TX,Southwest,7,2025-11-29
ACC00268,Lakeshore Group,Solo Agent,Residential Real Estate,WA,West,1,2023-07-02
ACC00269,Ridgeline Partners,Solo Agent,Residential Real Estate,NM,Southwest,1,2026-02-27
ACC00270,Ridgeline Realty,Small Team,Residential Real Estate,PA,Northeast,4,2024-03-20
ACC00271,Meridian & Co.,Solo Agent,Luxury Residential,NM,Southwest,1,2023-06-22
ACC00272,Blackwood & Co.,Small Team,Luxury Residential,TX,Southwest,5,2025-11-09
ACC00273,Summit Group,Small Team,Residential Real Estate,NM,Southwest,5,2026-05-01
ACC00274,Harbor Realty,Small Team,Property Management,MO,Midwest,2,2023-12-20
ACC00275,Cypress Partners,Brokerage,Commercial Real Estate,NV,West,305,2025-03-26
ACC00276,Cypress Properties,Small Team,Residential Real Estate,MA,Northeast,5,2024-07-22
ACC00277,Harbor Partners,Solo Agent,Luxury Residential,CA,West,1,2025-06-14
ACC00278,Ridgeline & Co.,Small Team,residential real estate,IL,Midwest,5,2023-12-26
ACC00279,Stonebridge Group,Large Team,Luxury Residential,NY,Northeast,22,2024-06-14
ACC00280,Cypress Group,Solo Agent,Residential Real Estate,NY,Northeast,1,2026-03-26
ACC00281,Cypress Realty,Solo Agent,Residential Real Estate,IL,Midwest,1,2023-07-30
ACC00282,Summit Real Estate,Solo Agent,Luxury Residential,MN,Midwest,1,2023-11-04
ACC00283,Foxglove Realty,Solo Agent,Commercial Real Estate,OH,Midwest,1,2023-06-09
ACC00284,Blackwood Group,Solo Agent,Commercial Real Estate,FL,Southeast,1,2025-08-10
ACC00285,Meridian Partners,Small Team,Luxury Residential,OH,Midwest,3,2024-09-14
ACC00286,Summit & Co.,Solo Agent,Residential Real Estate,NV,West,1,2024-12-10
ACC00287,Harbor Realty,Solo Agent,Luxury Residential,AZ,Southwest,1,2023-05-03
ACC00288,Ironwood Realty,Small Team,Luxury Residential,CA,West,7,2025-11-01
ACC00289,Stonebridge Group,Solo Agent,Property Management,MI,Midwest,1,2024-10-07
ACC00290,Ridgeline Partners,Solo Agent,Residential Real Estate,CO,Southwest,1,2026-04-12
ACC00291,Blackwood Realty,Brokerage,Property Management,IL,Midwest,186,2024-03-01
ACC00292,Cornerstone Group,Solo Agent,Luxury Residential,CT,Northeast,1,2024-11-02
ACC00293,Cypress Properties,Solo Agent,Property Management,TX,Southwest,1,2025-04-08
ACC00294,Ironwood Group,Solo Agent,Luxury Residential,CA,West,1,2024-03-31
ACC00295,Lakeshore Realty,Solo Agent,Luxury Residential,CA,West,1,2025-06-27
ACC00296,Foxglove Partners,Large Team,property management,GA,Southeast,14,2025-03-19
ACC00297,Meridian Properties,Solo Agent,Residential Real Estate,MI,Midwest,1,2023-11-01
ACC00298,Foxglove Real Estate,Solo Agent,Luxury Residential,WA,West,1,2025-02-23
ACC00299,Ridgeline Realty,Large Team,Commercial Real Estate,NJ,Northeast,17,2024-12-05
ACC00300,Harbor Properties,Small Team,Luxury Residential,GA,Southeast,6,2026-04-11
ACC00301,Ridgeline Properties,Large Team,Commercial Real Estate,MA,Northeast,20,2025-03-06
ACC00302,Cornerstone Partners,Small Team,Luxury Residential,OR,West,5,2024-12-21
ACC00303,Summit Group,Solo Agent,Residential Real Estate,WA,West,1,2024-03-24
ACC00304,Cypress Group,Solo Agent,Luxury Residential,CA,West,1,2026-04-16
ACC00305,Ridgeline & Co.,Solo Agent,Commercial Real Estate,CT,Northeast,1,2024-09-10
ACC00306,Ridgeline Partners,Small Team,Luxury Residential,NJ,Northeast,3,2024-12-31
